session_id,event_count,question_session
00025EE1-BA46-4853-8FDD-B991FABA328F,50,True
0004F43C-3A7A-4DE4-A02B-55AFDF07E9AD,42,True
00057831-A672-4163-9C02-AB920A371F2C,44,True
000638C3-2BC2-4068-A482-861B526B2651,31,True
00077002-3194-4c04-8ce0-2945041865f2,3,True
000C66B7-BD0A-4238-9560-A86E4A3A60A4,34,True
000FCE97-73B9-424D-9B16-AA3159B67457,26,True
000XtsnRzEW2xNWhGpi0Td8Dxt93,4,False
000f00c6-8c7c-451c-a4b3-16392c7be9a0,31,False
0010f595-8d72-46a3-a940-edc3fbbd28fb,4,False
0011244f-e78e-44b2-8736-d661426deba0,55,False
00132348-2ae9-4622-96ab-eabca19e1899,150,True
001331A6-719B-47E6-A626-1F453508414D,27,True
001398E9-BBCE-4F6E-A669-6A9D72C77CE5,40,True
0013C616-D3D6-4628-B928-25DD7E6ABB3F,36,True
0014f001-4757-48cf-a626-6bf17e910d26,18,True
00150b66-4b8c-44aa-9005-e4fbdda9506e,778,True
00152d1f-f7f4-4607-948e-0a32b92ea32d,7,True
00181B41-078B-4CA0-815F-72D24E5DDF9A,51,True
0018561B-F983-4E07-9B34-B73DA534B668,54,False
0018ED87-EA58-43B1-9C77-B0809BE89B85,115,True
00197DDC-46F8-4734-84BF-3EE8E3589CE3,41,True
00199e33-2998-4052-b3b1-21fec14459c4,273,True
001B9F54-531A-4460-9440-526CC96F2463,13,False
001E035C-1C8D-4755-91B9-75F177E2C210,20,True
001EE749-973E-4E13-A30C-D15D4F8E4C5A,29,True
001x1EyYjhNO5EJRXJLZXhzaIjn1,6,False
001zjRPEGWWVou4CbhLU7JQ9K9W2,72,False
0020D8D8-1ABC-45C9-9C59-9C9F175D530D,63,True
00224fc0-fdef-430d-94c5-c48c1255ae92,43,False
002404E7-C3A6-4FB9-AE05-29C2B553980E,5,False
00245f01-62c0-4590-8b22-83555f481dcb,11,False
0024e076-a979-41a8-b318-0e40a4903380,2,False
00258cbc-f5d0-4183-964c-44c6d494e7d4,44,True
00274vjuSXOGGbtmUUAsZ1QMRxF3,41,True
0027C6BE-3E7F-498E-A678-FDDB719514E5,63,True
0027e4a0-8f05-424d-98f5-5360b4d3d1f6,223,True
00299b74-bb78-423f-bdd7-2bb18e24fa71,306,True
0029b380-f848-42d9-a81e-693bad7755f6,13,True
0029d2be-464c-441e-b5ea-ba773736c555,21,False
002C79B6-850B-45F1-942C-6EA6BA54D01E,66,True
002CB679-5704-4CE1-BB48-04489D4F4E34,59,False
002E5DA7-1D74-40FA-973D-C24B8C7F01DF,48,True
002F073C-B8C5-4239-B179-18AE5641551E,23,True
002KHtytQcVvLzOzvprOv0sxVTM2,11,True
002a29db-a95c-48d2-8ed8-216b43c6dd5b,208,True
002c0c82-2bf2-4f6c-88e0-27a33366d669,46,True
002ee9ad-eaa0-47d5-a638-d2dd577d91df,164,True
002r3iOqdkTogNK959c80mHZpIz2,132,True
0032A6E5-CFC4-4B6F-A218-4A44C8CE1750,52,True
0034cdba-badc-422a-8956-546537b48352,399,True
0036A7D2-DC13-401B-B4DD-0B5743EF3E80,16,False
00377cde-fc77-4a95-80bb-4953319d2a91,12,True
0038246f-2746-4524-95c3-a3af2de56b64,177,True
00395d60-fdd0-41fc-95b8-75fb85f29e3c,64,True
003C3A7D-E37A-43DE-B34D-BDB80CFBAB2B,170,True
003CAFAF-DF37-44A7-AD24-EFFC9980E77F,245,True
003DCC72-05DB-4F14-866A-B455A72622EB,62,True
003E066A-96BB-41E6-8B64-C0E8D3F48F1E,21,False
00402F64-49C1-44E0-A837-D4E85152C0E7,85,True
00403cb5-c62a-4c2c-a998-62ed2ef7624d,1885,True
00431a63-68f0-46d5-9ba2-efbd191ee01b,137,True
00433771-9C1B-44F5-91B8-AE0E33581E5B,61,True
0043D88D-66AF-4BEC-9E78-56617D8B1DCC,118,True
0044BF14-C5F6-4ADE-A4DF-DE0CF87BF367,98,True
00486bc6-95a7-41f2-b3ab-e1ae13e2dc99,29,True
004C93CE-235B-465F-90ED-9E16C9512747,8,False
004FD0B9-5F61-47DF-A8F1-5E832B82D35C,26,True
004bf4ec-0bd3-441d-935c-a47badd358e4,19,True
005080F1-98FF-4C2E-BA78-474DADB2DC39,82,False
005145E9-25CF-48DE-A014-7495969C8EAD,30,True
0051C075-DB91-4E18-86A2-B11AB27E9EC1,58,True
0053159d-e14d-46be-9552-c2f4a44bbfe3,16,True
005537dd-2723-491b-a05f-e8c04417553f,48,True
00559B76-A0B6-4A4D-825A-3B1CEE63DBF1,19,True
005649DE-2CE8-4CF3-BB65-5107080367F6,9,False
00572721-1F64-4055-88F9-2FCECD28A374,12,True
0059A16B-2C22-4406-B358-45BAAE15BD8D,34,True
005C3932-87C6-43BE-9108-745999C9F384,29,False
005C4D5D-BF73-428A-96D0-160B200497E3,75,True
005b6195-36ab-4f40-ae19-f134c6be5b9c,4,False
005f1d16-2ed5-452f-89fd-555a03738c14,88,True
005fdf0f-8769-49c5-83ae-1c5c7c712afc,689,True
