user_id,session_id,event_key,event_datetime,event_category,prev_event,prev_time,time_diff_sec
1548609,00057831-A672-4163-9C02-AB920A371F2C,skip_question,2023-07-26 14:11:26,질문,click_question_start,2023-07-26 14:11:18,8.0
1548609,00057831-A672-4163-9C02-AB920A371F2C,skip_question,2023-07-27 18:08:09,질문,click_question_start,2023-07-27 18:08:05,4.0
1521193,00132348-2ae9-4622-96ab-eabca19e1899,skip_question,2023-08-01 14:33:46,질문,click_question_start,2023-08-01 14:33:25,21.0
1567443,001331A6-719B-47E6-A626-1F453508414D,skip_question,2023-08-10 23:02:09,질문,click_question_start,2023-08-10 23:01:23,46.0
1077817,00150b66-4b8c-44aa-9005-e4fbdda9506e,skip_question,2023-07-23 20:03:42,질문,click_question_start,2023-07-23 20:03:24,18.0
1077817,00150b66-4b8c-44aa-9005-e4fbdda9506e,skip_question,2023-07-25 01:20:03,질문,click_question_start,2023-07-25 01:19:59,4.0
1077817,00150b66-4b8c-44aa-9005-e4fbdda9506e,skip_question,2023-07-26 18:12:13,질문,click_question_start,2023-07-26 18:12:08,5.0
1077817,00150b66-4b8c-44aa-9005-e4fbdda9506e,skip_question,2023-07-29 21:17:56,질문,click_question_start,2023-07-29 21:17:51,5.0
1037318,0018ED87-EA58-43B1-9C77-B0809BE89B85,skip_question,2023-07-23 17:38:51,질문,click_question_start,2023-07-23 17:38:35,16.0
1037318,0018ED87-EA58-43B1-9C77-B0809BE89B85,skip_question,2023-07-24 23:18:59,질문,click_question_start,2023-07-24 23:18:21,38.0
1557149,00199e33-2998-4052-b3b1-21fec14459c4,skip_question,2023-07-29 13:46:19,질문,click_question_start,2023-07-29 13:46:16,3.0
1557149,00199e33-2998-4052-b3b1-21fec14459c4,skip_question,2023-08-06 22:44:41,질문,click_question_start,2023-08-06 22:44:12,29.0
1557149,00199e33-2998-4052-b3b1-21fec14459c4,skip_question,2023-08-09 00:46:11,질문,click_question_start,2023-08-09 00:45:28,43.0
1557149,00199e33-2998-4052-b3b1-21fec14459c4,skip_question,2023-08-09 13:22:30,질문,click_question_start,2023-08-09 13:22:16,14.0
1213766,001E035C-1C8D-4755-91B9-75F177E2C210,skip_question,2023-07-18 07:15:32,질문,click_question_start,2023-07-18 07:15:24,8.0
1213766,001E035C-1C8D-4755-91B9-75F177E2C210,skip_question,2023-07-25 23:01:54,질문,click_question_start,2023-07-25 23:01:25,29.0
1349088,0020D8D8-1ABC-45C9-9C59-9C9F175D530D,skip_question,2023-08-10 07:46:18,질문,click_question_start,2023-08-10 07:45:48,30.0
1538978,00258cbc-f5d0-4183-964c-44c6d494e7d4,skip_question,2023-07-24 05:03:46,질문,click_question_start,2023-07-24 05:02:21,85.0
1519333,00274vjuSXOGGbtmUUAsZ1QMRxF3,skip_question,2023-08-06 19:38:16,질문,click_question_start,2023-08-06 19:37:39,37.0
1579315,0027e4a0-8f05-424d-98f5-5360b4d3d1f6,skip_question,2023-07-23 14:02:08,질문,click_question_start,2023-07-23 14:02:02,6.0
1579315,0027e4a0-8f05-424d-98f5-5360b4d3d1f6,skip_question,2023-07-23 15:00:23,질문,click_question_start,2023-07-23 15:00:17,6.0
1579315,0027e4a0-8f05-424d-98f5-5360b4d3d1f6,skip_question,2023-07-23 15:00:43,질문,click_question_start,2023-07-23 15:00:35,8.0
